15/07/2022 15:05:54

Statistics:

AP = Adjacency Precision
AR = Adjacency Recall
AHP = Arrowhead Precicion
AHR = Arrowhead Recall
McAdj = Matthews correlation coefficient for adjacencies
McArrow = Matthews correlation coefficient for arrowheads
F1Adj = F1 statistics for adjacencies
F1Arrow = F1 statistics for arrowheads
SHD = Structural Hamming Distance
E = Elapsed time in seconds

Simulation:

reps: 10
number of variables: [10, 20]
average degree: [2, 4]
rnumber of samples: [1000, 10000]


Algorithms:

1. PC_CL
2. PC_CC
3. PCMAX_CC
4. FGES_CC
5. FCI_CL
6. GRASP_CC

* Opening the Causal Command jar and loading in the data is considered in the Elapsed time for CC algorithms *

Average:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	3     0.04   0.05   0.11   0.07   0.10   0.09   0.04   0.10   0.03   0.09   1.81   0.06   
	3     0.02   0.04   0.09   0.08   0.05   0.09   0.03   0.06   0.03   0.06   1.79   0.07   
	3     0.03   0.05   0.10   0.09   0.07   0.09   0.04   0.08   0.03   0.07   2.82   0.14   
	4     0.03   0.06   0.20   0.19   0.24   0.21   0.05   0.19   0.04   0.21   1.14   0.05   
	4     0.16   0.07   0.26   0.15   0.18   0.15   0.15   0.25   0.11   0.23   3.39   0.06   
	4     0.10   0.07   0.22   0.18   0.15   0.15   0.13   0.22   0.07   0.17   4.57   0.08   
	4     0.07   0.04   0.15   0.17   0.16   0.18   0.06   0.17   0.03   0.15   2.62   0.10   
	4     0.06   0.04   0.19   0.15   0.16   0.15   0.04   0.15   0.04   0.15   2.65   0.07   
	4     0.00   0.04   0.04   0.04   0.07   0.06   0.02   0.04   0.02   0.04   0.78   0.07   
	4     0.10   0.03   0.20   0.15   0.11   0.11   0.07   0.15   0.05   0.14   7.13   0.07   
	4     0.12   0.03   0.19   0.11   0.12   0.12   0.09   0.17   0.07   0.16   9.25   0.08   
	5     0.03   0.07   0.23   0.23   0.12   0.07   0.05   0.14   0.04   0.15   1.19   0.02   
	5     0.05   0.08   0.22   0.20   0.16   0.08   0.06   0.17   0.05   0.16   1.49   0.02   
	5     0.05   0.05   0.07   0.08   0.11   0.11   0.06   0.09   0.05   0.08   2.18   0.02   
	5     0.06   0.07   0.12   0.12   0.14   0.15   0.09   0.12   0.06   0.12   2.15   0.07   
	5     0.03   0.04   0.14   0.13   0.10   0.06   0.03   0.09   0.03   0.09   1.85   0.03   
	5     0.04   0.05   0.13   0.12   0.07   0.04   0.04   0.08   0.03   0.08   2.01   0.17   
	5     0.01   0.04   0.05   0.06   0.06   0.05   0.03   0.04   0.03   0.04   2.16   0.07   
	5     0.02   0.05   0.08   0.08   0.06   0.03   0.04   0.07   0.04   0.06   3.83   0.48   
	6     0.00   0.07   0.18   0.18   0.23   0.20   0.04   0.18   0.04   0.20   0.98   0.08   
	6     0.00   0.05   0.00   0.00   0.00   0.00   0.03   0.00   0.02   0.00   0.46   0.06   
	6     0.00   0.07   0.11   0.11   0.09   0.05   0.06   0.08   0.04   0.07   1.49   0.04   
	6     0.00   0.06   0.14   0.14   0.07   0.05   0.05   0.12   0.03   0.11   1.10   0.04   
	6     0.02   0.05   0.05   0.03   0.12   0.10   0.02   0.07   0.02   0.08   0.78   0.07   
	6     0.00   0.04   0.00   0.00   0.07   0.05   0.02   0.04   0.02   0.04   0.80   0.07   
	6     0.02   0.03   0.06   0.06   0.07   0.06   0.02   0.05   0.02   0.04   1.37   0.07   
	6     0.00   0.03   0.04   0.04   0.03   0.02   0.02   0.03   0.02   0.03   1.25   0.16   

Max Case:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   2.00   0.17   
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   0.15   
	1     1.00   0.70   1.00   1.00   0.76   1.00   0.75   0.85   0.82   0.87   12.00   0.27   
	1     1.00   0.80   0.82   0.82   0.56   0.82   0.83   0.63   0.89   nan    13.00   0.64   
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.96   1.00   0.97   5.00   0.48   
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   1.36   
	1     1.00   0.80   1.00   1.00   0.69   0.95   0.87   0.78   0.89   0.79   18.00   0.92   
	1     1.00   0.88   0.96   0.97   0.86   0.97   0.90   0.89   0.92   0.90   16.00   4.71   
	2     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.94   1.00   0.94   4.00   2.01   
	2     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   2.47   
	2     1.00   0.70   0.67   0.67   0.44   0.62   0.75   0.47   0.82   nan    17.00   2.05   
	2     1.00   0.85   0.67   0.67   0.50   0.75   0.83   0.51   0.89   0.57   15.00   2.69   
	2     1.00   1.00   0.93   0.93   0.76   0.87   1.00   0.84   1.00   0.84   10.00   2.10   
	2     1.00   1.00   1.00   1.00   0.94   1.00   1.00   0.97   1.00   0.97   6.00   2.69   
	2     1.00   0.80   0.60   0.62   0.46   0.59   0.87   0.45   0.89   0.48   26.00   2.28   
	2     1.00   0.88   0.71   0.74   0.66   0.76   0.90   0.65   0.92   0.68   28.00   2.84   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   1.92   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   2.31   
	3     1.00   0.70   0.91   1.00   0.59   0.91   0.75   0.69   0.82   0.71   16.00   1.99   
	3     1.00   0.85   1.00   1.00   0.69   0.92   0.83   0.72   0.89   0.75   13.00   2.77   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.90   1.00   0.90   5.00   2.10   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   2.72   
	3     1.00   0.80   1.00   1.00   0.65   1.00   0.87   0.78   0.89   0.78   19.00   2.24   
	3     1.00   0.88   0.90   0.96   0.82   0.96   0.90   0.82   0.92   0.84   16.00   3.13   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   1.89   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   10.00   2.41   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   15.00   2.03   
	4     0.90   1.00   0.59   0.71   0.81   0.87   0.82   0.60   0.90   0.67   16.00   2.62   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   10.00   2.15   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   2.00   2.85   
	4     1.00   0.90   1.00   1.00   0.91   0.97   0.92   0.93   0.94   0.94   28.00   2.33   
	4     1.00   0.97   1.00   1.00   0.95   1.00   0.97   0.97   0.97   0.97   28.00   3.06   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   0.09   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   0.11   
	5     1.00   0.70   0.62   0.65   0.76   1.00   0.75   0.62   0.82   0.68   17.00   0.10   
	5     1.00   0.80   0.69   0.69   0.81   1.00   0.83   0.63   0.89   0.69   17.00   0.45   
	5     1.00   1.00   0.93   0.93   1.00   1.00   1.00   0.84   1.00   0.84   8.00   0.20   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.97   1.00   0.97   7.00   0.97   
	5     1.00   0.80   0.69   0.69   0.74   1.00   0.87   0.68   0.89   0.71   28.00   0.65   
	5     1.00   0.88   0.74   0.74   0.89   1.00   0.90   0.72   0.92   0.75   28.00   3.85   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   2.05   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   2.48   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   2.02   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   2.57   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   2.23   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   2.00   2.77   
	6     1.00   0.90   1.00   1.00   0.92   1.00   0.94   0.95   0.95   0.96   8.00   2.28   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   3.23   

Min Case:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     0.90   0.80   0.43   0.43   0.57   0.67   0.87   0.64   0.89   0.60   0.00   0.06   
	1     0.89   0.80   0.60   0.60   0.43   0.57   0.80   0.48   0.84   0.50   0.00   0.07   
	1     0.87   0.55   0.50   0.50   0.22   0.42   0.57   0.25   0.69   0.31   6.00   0.12   
	1     0.80   0.60   0.00   0.00   0.00   0.00   0.51   -0.12   0.69   nan    7.00   0.26   
	1     0.94   0.85   0.58   0.64   0.58   0.64   0.88   0.57   0.89   0.58   0.00   0.39   
	1     0.90   0.85   0.67   0.67   0.69   0.69   0.89   0.75   0.90   0.75   0.00   0.61   
	1     0.97   0.68   0.68   0.68   0.48   0.68   0.79   0.55   0.81   0.57   10.00   0.62   
	1     0.94   0.72   0.67   0.73   0.50   0.67   0.79   0.55   0.82   0.57   7.00   2.64   
	2     0.90   0.80   0.29   0.29   0.25   0.25   0.87   0.21   0.89   0.27   0.00   1.88   
	2     0.89   0.80   0.33   0.33   0.25   0.25   0.80   0.24   0.84   0.29   0.00   2.28   
	2     0.85   0.55   0.00   0.00   0.00   0.00   0.52   -0.14   0.67   nan    10.00   1.88   
	2     0.80   0.60   0.19   0.20   0.16   0.21   0.51   0.02   0.69   0.18   9.00   2.33   
	2     0.94   0.85   0.31   0.33   0.33   0.36   0.88   0.30   0.89   0.32   3.00   1.98   
	2     0.90   0.85   0.40   0.44   0.36   0.40   0.89   0.36   0.90   0.38   1.00   2.58   
	2     0.97   0.68   0.28   0.29   0.23   0.32   0.79   0.20   0.81   0.25   18.00   2.07   
	2     0.91   0.72   0.27   0.29   0.23   0.31   0.79   0.18   0.82   0.25   13.00   2.62   
	3     0.90   0.80   0.67   0.67   0.50   0.57   0.87   0.55   0.89   0.57   0.00   1.71   
	3     0.89   0.80   0.50   0.57   0.57   0.57   0.80   0.50   0.84   0.53   0.00   2.15   
	3     0.85   0.55   0.33   0.33   0.24   0.40   0.52   0.16   0.67   0.28   8.00   1.75   
	3     0.80   0.60   0.31   0.33   0.26   0.36   0.51   0.22   0.69   0.33   6.00   2.25   
	3     0.94   0.85   0.69   0.73   0.50   0.64   0.88   0.61   0.89   0.61   0.00   1.88   
	3     0.90   0.85   0.71   0.81   0.67   0.77   0.89   0.68   0.90   0.69   0.00   2.54   
	3     0.97   0.68   0.69   0.72   0.49   0.69   0.79   0.56   0.81   0.58   13.00   1.96   
	3     0.91   0.72   0.64   0.70   0.57   0.64   0.79   0.59   0.82   0.62   8.00   2.71   
	4     0.90   0.80   0.43   0.43   0.25   0.33   0.87   0.48   0.89   0.40   0.00   1.72   
	4     0.56   0.80   0.23   0.50   0.43   0.50   0.61   0.24   0.69   0.30   0.00   2.20   
	4     0.73   0.75   0.36   0.50   0.44   0.50   0.56   0.25   0.76   0.40   0.00   1.79   
	4     0.69   0.85   0.15   0.21   0.19   0.20   0.62   0.01   0.80   0.18   7.00   2.31   
	4     0.82   0.85   0.45   0.56   0.43   0.50   0.84   0.50   0.86   0.51   0.00   1.95   
	4     1.00   0.90   0.88   0.88   0.80   0.85   0.94   0.89   0.95   0.89   0.00   2.60   
	4     0.67   0.80   0.50   0.59   0.49   0.57   0.68   0.44   0.75   0.49   5.00   2.06   
	4     0.68   0.90   0.51   0.66   0.55   0.60   0.72   0.48   0.77   0.53   2.00   2.81   
	5     0.90   0.80   0.38   0.38   0.57   0.80   0.87   0.59   0.89   0.55   0.00   0.02   
	5     0.89   0.80   0.47   0.50   0.57   0.80   0.80   0.50   0.84   0.53   0.00   0.05   
	5     0.87   0.55   0.40   0.42   0.44   0.62   0.57   0.31   0.69   0.43   9.00   0.04   
	5     0.80   0.60   0.25   0.27   0.31   0.50   0.51   0.24   0.69   0.34   10.00   0.22   
	5     0.94   0.85   0.47   0.50   0.64   0.82   0.88   0.53   0.89   0.55   3.00   0.12   
	5     0.90   0.85   0.58   0.58   0.76   0.87   0.89   0.72   0.90   0.71   1.00   0.36   
	5     0.97   0.68   0.50   0.50   0.57   0.81   0.79   0.54   0.81   0.58   22.00   0.37   
	5     0.94   0.72   0.48   0.49   0.69   0.92   0.79   0.54   0.82   0.57   15.00   2.00   
	6     1.00   0.80   0.43   0.43   0.25   0.33   0.87   0.48   0.89   0.40   0.00   1.82   
	6     1.00   0.90   1.00   1.00   1.00   1.00   0.94   1.00   0.95   1.00   0.00   2.29   
	6     1.00   0.80   0.64   0.64   0.71   0.86   0.83   0.73   0.89   0.75   0.00   1.89   
	6     1.00   0.80   0.55   0.55   0.75   0.86   0.83   0.60   0.89   0.63   0.00   2.41   
	6     0.95   0.85   0.83   0.91   0.57   0.67   0.91   0.75   0.92   0.73   0.00   2.01   
	6     1.00   0.90   1.00   1.00   0.80   0.85   0.94   0.89   0.95   0.89   0.00   2.53   
	6     0.95   0.80   0.82   0.82   0.73   0.84   0.87   0.81   0.89   0.82   4.00   2.02   
	6     1.00   0.90   0.88   0.88   0.89   0.94   0.94   0.88   0.95   0.89   0.00   2.64   

Median Case:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     1.00   0.90   1.00   1.00   0.84   1.00   0.90   0.86   0.92   0.87   2.00   0.11   
	1     1.00   0.90   0.88   0.92   0.93   0.93   0.94   0.84   0.95   0.84   1.00   0.10   
	1     1.00   0.65   0.79   0.82   0.49   0.78   0.68   0.56   0.78   0.60   9.50   0.23   
	1     0.94   0.72   0.50   0.56   0.42   0.59   0.73   0.36   0.83   nan    10.00   0.40   
	1     0.95   0.90   0.89   0.93   0.76   0.89   0.91   0.83   0.92   0.83   3.00   0.43   
	1     1.00   0.95   0.87   0.92   0.93   1.00   0.97   0.90   0.97   0.90   1.50   0.78   
	1     1.00   0.71   0.89   0.89   0.60   0.84   0.81   0.74   0.83   0.73   13.00   0.71   
	1     0.97   0.82   0.90   0.92   0.70   0.88   0.87   0.79   0.89   0.80   10.00   3.39   
	2     1.00   0.90   0.74   0.74   0.68   0.72   0.90   0.66   0.92   0.68   2.50   1.94   
	2     1.00   0.90   0.72   0.76   0.71   0.82   0.94   0.72   0.95   0.73   1.50   2.37   
	2     1.00   0.65   0.33   0.33   0.24   0.35   0.68   0.14   0.78   nan    13.50   1.93   
	2     0.94   0.72   0.35   0.36   0.32   0.43   0.74   0.20   0.83   0.32   12.50   2.38   
	2     0.95   0.90   0.58   0.62   0.53   0.58   0.91   0.54   0.92   0.55   6.50   2.03   
	2     1.00   0.95   0.67   0.76   0.71   0.76   0.97   0.68   0.97   0.69   4.50   2.62   
	2     0.98   0.71   0.43   0.44   0.32   0.45   0.80   0.32   0.83   0.37   23.00   2.11   
	2     0.96   0.82   0.46   0.49   0.42   0.53   0.87   0.39   0.89   0.44   22.50   2.72   
	3     1.00   0.90   1.00   1.00   0.80   1.00   0.90   0.89   0.92   0.89   2.00   1.78   
	3     1.00   0.90   1.00   1.00   0.93   1.00   0.94   0.84   0.95   0.85   1.00   2.25   
	3     1.00   0.65   0.60   0.60   0.43   0.67   0.68   0.41   0.78   0.49   10.50   1.83   
	3     0.94   0.72   0.56   0.60   0.58   0.74   0.74   0.44   0.83   0.53   8.50   2.31   
	3     0.95   0.90   0.81   0.89   0.76   0.86   0.91   0.81   0.92   0.81   3.00   1.98   
	3     1.00   0.95   1.00   1.00   0.86   0.86   0.97   0.92   0.97   0.92   1.50   2.61   
	3     0.98   0.71   0.78   0.78   0.57   0.78   0.80   0.63   0.83   0.65   14.50   2.06   
	3     0.96   0.82   0.85   0.86   0.66   0.86   0.87   0.72   0.89   0.74   12.00   2.83   
	4     1.00   0.90   1.00   1.00   1.00   1.00   0.94   0.89   0.95   0.89   1.00   1.82   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   2.31   
	4     0.85   0.80   0.59   0.73   0.59   0.72   0.71   0.53   0.83   0.59   9.50   1.86   
	4     0.80   0.90   0.47   0.59   0.56   0.60   0.73   0.39   0.85   0.50   11.00   2.45   
	4     1.00   0.90   1.00   1.00   0.82   0.90   0.94   0.88   0.95   0.88   2.00   2.03   
	4     1.00   1.00   1.00   1.00   0.94   0.97   1.00   0.95   1.00   0.95   0.50   2.70   
	4     0.91   0.85   0.73   0.80   0.71   0.84   0.85   0.69   0.88   0.72   13.00   2.20   
	4     0.87   0.94   0.75   0.85   0.83   0.89   0.89   0.77   0.91   0.79   10.50   2.90   
	5     1.00   0.90   0.94   0.94   0.84   1.00   0.90   0.84   0.92   0.85   2.00   0.03   
	5     1.00   0.90   0.71   0.71   1.00   1.00   0.94   0.75   0.95   0.75   2.50   0.07   
	5     1.00   0.65   0.52   0.54   0.53   0.89   0.68   0.41   0.78   0.51   14.00   0.09   
	5     0.94   0.72   0.46   0.51   0.67   0.95   0.73   0.42   0.83   0.53   13.00   0.32   
	5     0.95   0.90   0.66   0.69   0.79   0.89   0.91   0.72   0.92   0.72   7.00   0.17   
	5     1.00   0.95   0.71   0.77   0.97   1.00   0.97   0.79   0.97   0.78   5.00   0.52   
	5     1.00   0.71   0.57   0.58   0.70   0.94   0.81   0.57   0.83   0.61   23.50   0.44   
	5     0.97   0.82   0.60   0.63   0.78   0.96   0.87   0.65   0.89   0.68   23.50   2.56   
	6     1.00   0.95   1.00   1.00   1.00   1.00   0.97   0.97   0.97   0.97   0.50   1.97   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   2.39   
	6     1.00   0.85   1.00   1.00   0.83   1.00   0.87   0.88   0.92   0.89   3.50   1.94   
	6     1.00   0.95   1.00   1.00   0.94   1.00   0.96   0.96   0.97   0.97   1.00   2.44   
	6     1.00   0.93   1.00   1.00   0.85   0.93   0.94   0.91   0.95   0.91   2.00   2.14   
	6     1.00   1.00   1.00   1.00   0.97   1.00   1.00   0.98   1.00   0.98   0.00   2.67   
	6     1.00   0.88   0.98   0.98   0.82   0.93   0.92   0.87   0.93   0.87   5.00   2.11   
	6     1.00   0.95   1.00   1.00   0.95   1.00   0.97   0.97   0.97   0.97   2.00   2.73   

