06/03/2023 12:09:17

Statistics:

AP = Adjacency Precision
AR = Adjacency Recall
AHP = Arrowhead Precicion
AHR = Arrowhead Recall
McAdj = Matthews correlation coefficient for adjacencies
McArrow = Matthews correlation coefficient for arrowheads
F1Adj = F1 statistics for adjacencies
F1Arrow = F1 statistics for arrowheads
SHD = Structural Hamming Distance
E = Elapsed time in seconds

Simulation:

reps: 10
number of variables: [10, 20]
average degree: [2, 4]
rnumber of samples: [1000, 10000]


Algorithms:

1. PC_CL
2. PC_CC
3. PCMAX_CC
4. FGES_CC
5. FCI_CL
6. GRASP_CC
7. GESBIC_CL
8. GESCV_CL

* Opening the Causal Command jar and loading in the data is considered in the Elapsed time for CC algorithms *

Average:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	4     0.91   0.85   0.63   0.67   0.54   0.63   0.85   0.55   0.87   0.57   3.80   2.61   
	4     1.00   0.98   1.00   1.00   0.98   1.00   0.99   0.99   0.99   0.99   0.20   3.17   
	4     0.84   0.82   0.55   0.63   0.59   0.70   0.70   0.48   0.83   0.56   10.50   2.75   
	4     0.77   0.91   0.53   0.67   0.68   0.73   0.67   0.49   0.83   0.59   11.40   3.30   
	4     1.00   0.91   0.95   0.95   0.88   0.93   0.95   0.91   0.95   0.91   2.10   2.89   
	4     0.97   0.94   0.90   0.94   0.83   0.87   0.95   0.86   0.95   0.86   2.30   3.64   
	4     0.86   0.86   0.70   0.81   0.73   0.85   0.82   0.68   0.85   0.71   16.20   3.15   
	4     0.84   0.95   0.71   0.84   0.80   0.85   0.85   0.73   0.88   0.75   16.00   3.38   
	5     0.99   0.84   0.61   0.62   0.76   0.86   0.89   0.64   0.91   0.65   4.30   0.03   
	5     1.00   0.98   0.96   0.96   0.98   1.00   0.99   0.97   0.99   0.97   0.60   0.04   
	5     0.99   0.64   0.56   0.57   0.58   0.92   0.69   0.47   0.77   0.56   12.50   0.09   
	5     0.99   0.74   0.51   0.51   0.65   0.88   0.78   0.47   0.85   0.56   12.50   0.16   
	5     0.99   0.88   0.71   0.72   0.84   0.95   0.93   0.76   0.93   0.76   5.50   0.11   
	5     0.97   0.93   0.76   0.78   0.86   0.91   0.94   0.79   0.95   0.79   4.40   0.12   
	5     0.99   0.69   0.58   0.59   0.63   0.93   0.79   0.56   0.81   0.60   25.10   0.36   
	5     0.97   0.78   0.58   0.60   0.72   0.96   0.84   0.61   0.86   0.64   23.30   0.67   
	6     0.99   0.87   0.90   0.91   0.79   0.87   0.91   0.82   0.92   0.83   1.60   2.54   
	6     1.00   0.98   1.00   1.00   0.98   1.00   0.99   0.99   0.99   0.99   0.20   3.03   
	6     1.00   0.88   0.96   0.96   0.84   0.95   0.90   0.87   0.94   0.89   2.60   2.63   
	6     1.00   0.96   1.00   1.00   0.95   0.98   0.96   0.97   0.98   0.97   0.80   3.02   
	6     1.00   0.91   1.00   1.00   0.91   0.96   0.95   0.95   0.95   0.95   1.70   2.77   
	6     1.00   0.96   0.98   0.98   0.91   0.94   0.97   0.94   0.98   0.94   1.00   3.54   
	6     0.99   0.88   0.96   0.96   0.86   0.97   0.92   0.90   0.93   0.90   5.60   2.85   
	6     0.99   0.95   0.98   0.99   0.92   0.97   0.96   0.95   0.97   0.95   2.40   2.99   
	7     0.95   0.86   0.73   0.76   0.65   0.72   0.88   0.66   0.90   0.67   2.90   1.03   
	7     1.00   0.98   1.00   1.00   0.98   1.00   0.99   0.99   0.99   0.99   0.20   1.32   
	7     0.87   0.83   0.59   0.67   0.63   0.74   0.73   0.52   0.84   0.60   9.50   2.24   
	7     0.77   0.90   0.51   0.64   0.64   0.69   0.67   0.47   0.83   0.56   11.40   6.51   
	7     1.00   0.91   0.95   0.95   0.88   0.93   0.95   0.91   0.95   0.91   2.10   15.73   
	7     0.98   0.94   0.90   0.92   0.83   0.87   0.96   0.86   0.96   0.86   1.90   17.70   
	7     0.84   0.85   0.64   0.76   0.70   0.81   0.80   0.63   0.84   0.66   18.60   39.77   
	7     0.87   0.93   0.74   0.83   0.79   0.85   0.87   0.73   0.90   0.76   13.80   38.36   
	8     0.95   0.86   0.73   0.76   0.65   0.72   0.88   0.66   0.90   0.67   2.90   1.03   
	8     1.00   0.98   1.00   1.00   0.98   1.00   0.99   0.99   0.99   0.99   0.20   1.32   
	8     0.87   0.83   0.59   0.67   0.63   0.74   0.73   0.52   0.84   0.60   9.50   2.22   
	8     0.77   0.90   0.51   0.64   0.64   0.69   0.67   0.47   0.83   0.56   11.40   6.53   
	8     1.00   0.91   0.95   0.95   0.88   0.93   0.95   0.91   0.95   0.91   2.10   15.73   
	8     0.98   0.94   0.90   0.92   0.83   0.87   0.96   0.86   0.96   0.86   1.90   17.69   
	8     0.84   0.85   0.64   0.76   0.70   0.81   0.80   0.63   0.84   0.66   18.60   39.74   
	8     0.87   0.93   0.74   0.83   0.79   0.85   0.87   0.73   0.90   0.76   13.80   37.83   

Standard Deviation:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     0.03   0.09   0.18   0.18   0.17   0.15   0.07   0.16   0.06   0.15   1.04   0.01   
	1     0.00   0.04   0.00   0.00   0.05   0.00   0.03   0.03   0.02   0.03   0.40   0.01   
	1     0.04   0.08   0.22   0.21   0.17   0.24   0.07   0.19   0.06   0.17   2.65   0.02   
	1     0.04   0.05   0.20   0.20   0.13   0.14   0.06   0.18   0.04   0.15   2.43   0.02   
	1     0.02   0.06   0.15   0.14   0.14   0.13   0.04   0.13   0.04   0.12   1.42   0.01   
	1     0.03   0.03   0.15   0.14   0.15   0.13   0.03   0.15   0.02   0.14   1.43   0.02   
	1     0.02   0.07   0.08   0.08   0.11   0.10   0.06   0.09   0.06   0.10   3.14   0.08   
	1     0.05   0.04   0.12   0.13   0.10   0.12   0.05   0.12   0.04   0.10   3.92   0.10   
	2     0.03   0.09   0.30   0.30   0.20   0.23   0.07   0.24   0.06   nan    1.85   0.08   
	2     0.00   0.04   0.15   0.15   0.14   0.13   0.03   0.16   0.02   0.14   1.20   0.03   
	2     0.05   0.07   0.19   0.19   0.12   0.19   0.07   0.16   0.06   nan    1.41   0.19   
	2     0.05   0.06   0.16   0.18   0.15   0.21   0.08   0.18   0.05   0.15   2.96   0.12   
	2     0.02   0.06   0.22   0.23   0.16   0.18   0.04   0.18   0.04   0.17   1.40   0.15   
	2     0.03   0.03   0.21   0.20   0.19   0.18   0.03   0.20   0.02   0.19   2.49   0.12   
	2     0.03   0.07   0.10   0.11   0.07   0.12   0.06   0.09   0.06   0.08   3.24   0.14   
	2     0.06   0.04   0.12   0.12   0.09   0.12   0.05   0.11   0.04   0.10   5.11   0.20   
	3     0.03   0.09   0.18   0.18   0.22   0.22   0.07   0.18   0.06   0.19   0.83   0.13   
	3     0.00   0.04   0.00   0.00   0.05   0.00   0.03   0.03   0.02   0.03   0.40   0.09   
	3     0.05   0.07   0.14   0.13   0.15   0.17   0.07   0.10   0.06   0.12   1.11   0.05   
	3     0.05   0.06   0.18   0.20   0.14   0.17   0.08   0.16   0.05   0.14   2.10   0.16   
	3     0.02   0.06   0.15   0.15   0.16   0.14   0.04   0.15   0.04   0.14   1.62   0.07   
	3     0.03   0.03   0.11   0.11   0.13   0.11   0.03   0.12   0.02   0.12   1.20   0.07   
	3     0.03   0.07   0.10   0.10   0.12   0.10   0.06   0.11   0.06   0.11   4.20   0.08   
	3     0.06   0.04   0.09   0.10   0.08   0.07   0.05   0.09   0.04   0.08   3.82   0.22   
	4     0.10   0.12   0.37   0.34   0.27   0.32   0.11   0.33   0.09   0.31   2.93   0.08   
	4     0.00   0.04   0.00   0.00   0.05   0.00   0.03   0.03   0.02   0.03   0.40   0.20   
	4     0.10   0.08   0.29   0.27   0.25   0.26   0.12   0.31   0.07   0.25   5.37   0.07   
	4     0.14   0.04   0.23   0.18   0.20   0.19   0.19   0.28   0.09   0.22   6.76   0.09   
	4     0.00   0.05   0.14   0.14   0.14   0.13   0.03   0.14   0.03   0.13   1.45   0.03   
	4     0.04   0.03   0.12   0.09   0.13   0.13   0.03   0.12   0.03   0.12   1.49   0.05   
	4     0.11   0.04   0.16   0.10   0.09   0.09   0.08   0.13   0.06   0.12   7.61   0.11   
	4     0.16   0.04   0.23   0.14   0.16   0.15   0.14   0.22   0.11   0.20   16.46   0.25   
	5     0.03   0.09   0.18   0.18   0.16   0.15   0.07   0.10   0.06   0.09   1.85   0.01   
	5     0.00   0.04   0.11   0.11   0.05   0.00   0.03   0.07   0.02   0.07   1.20   0.01   
	5     0.03   0.06   0.09   0.08   0.08   0.09   0.06   0.07   0.05   0.06   1.57   0.02   
	5     0.04   0.07   0.10   0.10   0.12   0.11   0.06   0.11   0.04   0.10   2.97   0.05   
	5     0.02   0.06   0.17   0.17   0.09   0.06   0.04   0.08   0.04   0.08   1.91   0.02   
	5     0.03   0.03   0.19   0.19   0.15   0.13   0.03   0.16   0.02   0.15   2.69   0.02   
	5     0.02   0.08   0.05   0.05   0.10   0.06   0.06   0.06   0.06   0.06   3.36   0.09   
	5     0.04   0.03   0.07   0.06   0.08   0.08   0.03   0.06   0.02   0.05   4.86   0.21   
	6     0.03   0.10   0.17   0.16   0.16   0.14   0.07   0.15   0.06   0.15   1.11   0.04   
	6     0.00   0.04   0.00   0.00   0.05   0.00   0.03   0.03   0.02   0.03   0.40   0.05   
	6     0.00   0.06   0.08   0.08   0.12   0.12   0.05   0.10   0.03   0.09   1.36   0.12   
	6     0.00   0.04   0.00   0.00   0.06   0.03   0.03   0.04   0.02   0.03   0.75   0.05   
	6     0.00   0.05   0.00   0.00   0.09   0.06   0.03   0.05   0.03   0.05   1.10   0.08   
	6     0.00   0.04   0.07   0.07   0.11   0.09   0.02   0.09   0.02   0.09   0.89   0.10   
	6     0.02   0.03   0.05   0.04   0.07   0.05   0.02   0.06   0.02   0.05   2.01   0.07   
	6     0.01   0.04   0.03   0.03   0.06   0.03   0.03   0.05   0.02   0.05   1.91   0.19   
	7     0.08   0.13   0.33   0.31   0.27   0.30   0.11   0.31   0.09   0.29   2.66   0.21   
	7     0.00   0.04   0.00   0.00   0.05   0.00   0.03   0.03   0.02   0.03   0.40   0.21   
	7     0.10   0.07   0.19   0.16   0.17   0.17   0.10   0.20   0.06   0.16   3.98   0.23   
	7     0.14   0.04   0.21   0.18   0.19   0.18   0.17   0.25   0.08   0.20   6.39   10.35   
	7     0.00   0.05   0.14   0.14   0.14   0.13   0.03   0.14   0.03   0.13   1.45   2.33   
	7     0.02   0.03   0.14   0.12   0.15   0.14   0.03   0.14   0.02   0.14   1.30   2.18   
	7     0.09   0.04   0.14   0.11   0.11   0.10   0.07   0.13   0.05   0.12   7.24   7.04   
	7     0.14   0.06   0.20   0.13   0.16   0.14   0.13   0.20   0.10   0.18   13.95   8.99   
	8     0.08   0.13   0.33   0.31   0.27   0.30   0.11   0.31   0.09   0.29   2.66   0.21   
	8     0.00   0.04   0.00   0.00   0.05   0.00   0.03   0.03   0.02   0.03   0.40   0.21   
	8     0.10   0.07   0.19   0.16   0.17   0.17   0.10   0.20   0.06   0.16   3.98   0.24   
	8     0.14   0.04   0.21   0.18   0.19   0.18   0.17   0.25   0.08   0.20   6.39   10.44   
	8     0.00   0.05   0.14   0.14   0.14   0.13   0.03   0.14   0.03   0.13   1.45   2.32   
	8     0.02   0.03   0.14   0.12   0.15   0.14   0.03   0.14   0.02   0.14   1.30   2.12   
	8     0.09   0.04   0.14   0.11   0.11   0.10   0.07   0.13   0.05   0.12   7.24   7.00   
	8     0.14   0.06   0.20   0.13   0.16   0.14   0.13   0.20   0.10   0.18   13.95   9.10   

Max Case:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   0.05   
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.06   
	1     1.00   0.80   1.00   1.00   0.67   1.00   0.83   0.73   0.89   0.74   13.00   0.10   
	1     1.00   0.85   1.00   1.00   0.79   1.00   0.87   0.87   0.92   0.88   12.00   0.15   
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.95   1.00   0.95   6.00   0.14   
	1     1.00   0.95   1.00   1.00   1.00   1.00   0.97   1.00   0.97   1.00   5.00   0.15   
	1     1.00   0.82   1.00   1.00   0.75   0.96   0.89   0.79   0.90   0.81   21.00   0.50   
	1     1.00   0.88   0.97   1.00   0.78   1.00   0.92   0.86   0.93   0.86   22.00   0.69   
	2     1.00   1.00   1.00   1.00   0.60   0.67   1.00   0.69   1.00   nan    7.00   2.74   
	2     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   3.05   
	2     1.00   0.80   0.80   0.80   0.47   0.80   0.83   0.50   0.89   nan    15.00   3.19   
	2     1.00   0.85   0.67   0.77   0.59   0.83   0.87   0.56   0.92   0.62   18.00   3.41   
	2     1.00   1.00   1.00   1.00   0.76   0.93   1.00   0.87   1.00   0.87   8.00   3.10   
	2     1.00   0.95   1.00   1.00   0.93   0.93   0.97   0.93   0.97   0.93   8.00   3.80   
	2     1.00   0.82   0.54   0.59   0.41   0.65   0.89   0.42   0.90   0.46   31.00   3.29   
	2     1.00   0.88   0.67   0.67   0.56   0.77   0.92   0.57   0.93   0.61   34.00   3.55   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   2.95   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.29   
	3     1.00   0.80   1.00   1.00   0.61   0.82   0.83   0.61   0.89   0.65   11.00   2.75   
	3     1.00   0.85   1.00   1.00   0.79   1.00   0.87   0.87   0.92   0.88   11.00   3.53   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   6.00   2.98   
	3     1.00   0.95   1.00   1.00   1.00   1.00   0.97   1.00   0.97   1.00   4.00   3.62   
	3     1.00   0.82   0.97   0.97   0.83   0.97   0.89   0.89   0.90   0.90   23.00   3.13   
	3     1.00   0.88   1.00   1.00   0.79   1.00   0.92   0.87   0.93   0.88   19.00   3.66   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   9.00   2.76   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.60   
	4     1.00   0.95   1.00   1.00   0.88   1.00   0.87   0.90   0.92   0.91   22.00   2.87   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   24.00   3.49   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   2.97   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   3.75   
	4     1.00   0.93   0.90   0.94   0.84   0.97   0.92   0.84   0.94   0.85   28.00   3.33   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   56.00   3.89   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.76   1.00   0.78   7.00   0.04   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   0.06   
	5     1.00   0.75   0.75   0.75   0.67   1.00   0.79   0.58   0.86   0.65   16.00   0.13   
	5     1.00   0.85   0.62   0.62   0.84   1.00   0.87   0.64   0.92   0.71   19.00   0.27   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.87   1.00   0.87   9.00   0.15   
	5     1.00   0.95   1.00   1.00   1.00   1.00   0.97   1.00   0.97   1.00   8.00   0.16   
	5     1.00   0.82   0.67   0.67   0.86   1.00   0.89   0.70   0.90   0.72   30.00   0.55   
	5     1.00   0.82   0.72   0.72   0.79   1.00   0.87   0.69   0.89   0.72   35.00   1.09   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.00   2.63   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   3.09   
	6     1.00   0.95   1.00   1.00   1.00   1.00   0.96   0.96   0.97   0.97   5.00   2.98   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   2.00   3.11   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   2.92   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   2.00   3.79   
	6     1.00   0.93   1.00   1.00   0.94   1.00   0.95   0.95   0.96   0.96   9.00   3.00   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   6.00   3.52   
	7     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   8.00   1.54   
	7     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.64   
	7     1.00   0.95   1.00   1.00   0.88   1.00   0.87   0.90   0.92   0.91   19.00   2.70   
	7     1.00   0.95   0.85   0.89   0.93   1.00   0.91   0.82   0.95   0.85   20.00   37.54   
	7     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   21.24   
	7     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   20.81   
	7     0.97   0.93   0.87   0.94   0.83   0.94   0.87   0.83   0.90   0.85   35.00   52.66   
	7     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   50.00   60.53   
	8     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   8.00   1.54   
	8     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.65   
	8     1.00   0.95   1.00   1.00   0.88   1.00   0.87   0.90   0.92   0.91   19.00   2.68   
	8     1.00   0.95   0.85   0.89   0.93   1.00   0.91   0.82   0.95   0.85   20.00   37.83   
	8     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   5.00   21.16   
	8     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   4.00   20.52   
	8     0.97   0.93   0.87   0.94   0.83   0.94   0.87   0.83   0.90   0.85   35.00   52.47   
	8     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   50.00   60.35   

Min Case:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     0.89   0.70   0.43   0.43   0.50   0.57   0.80   0.48   0.82   0.50   1.00   0.02   
	1     1.00   0.90   1.00   1.00   0.83   1.00   0.94   0.91   0.95   0.91   0.00   0.03   
	1     0.87   0.50   0.30   0.30   0.17   0.30   0.60   0.10   0.67   0.21   6.00   0.05   
	1     0.88   0.70   0.47   0.47   0.41   0.57   0.69   0.36   0.80   0.47   4.00   0.09   
	1     0.95   0.80   0.50   0.50   0.47   0.54   0.88   0.46   0.89   0.48   1.00   0.09   
	1     0.95   0.85   0.56   0.59   0.50   0.57   0.91   0.59   0.92   0.59   1.00   0.09   
	1     0.96   0.55   0.73   0.73   0.32   0.63   0.68   0.48   0.70   0.46   10.00   0.23   
	1     0.86   0.72   0.57   0.59   0.46   0.64   0.75   0.48   0.79   0.52   8.00   0.33   
	2     0.89   0.70   0.00   0.00   0.00   0.00   0.80   -0.08   0.82   nan    1.00   2.50   
	2     1.00   0.90   0.50   0.50   0.56   0.56   0.94   0.48   0.95   0.53   0.00   2.94   
	2     0.87   0.50   0.00   0.00   0.00   0.00   0.60   -0.15   0.67   nan    10.00   2.54   
	2     0.88   0.70   0.06   0.07   0.06   0.07   0.64   -0.13   0.78   0.06   7.00   2.97   
	2     0.94   0.80   0.33   0.33   0.33   0.38   0.88   0.33   0.89   0.36   4.00   2.65   
	2     0.95   0.85   0.41   0.44   0.46   0.50   0.91   0.43   0.92   0.45   1.00   3.37   
	2     0.92   0.57   0.24   0.24   0.17   0.26   0.68   0.14   0.71   0.20   20.00   2.79   
	2     0.85   0.72   0.22   0.26   0.21   0.27   0.74   0.14   0.78   0.22   16.00   2.85   
	3     0.89   0.70   0.50   0.50   0.25   0.29   0.80   0.46   0.82   0.40   1.00   2.48   
	3     1.00   0.90   1.00   1.00   0.83   1.00   0.94   0.91   0.95   0.91   0.00   2.99   
	3     0.87   0.50   0.50   0.50   0.15   0.30   0.60   0.35   0.67   0.26   7.00   2.61   
	3     0.88   0.70   0.53   0.55   0.36   0.45   0.64   0.39   0.78   0.48   3.00   2.96   
	3     0.94   0.80   0.50   0.50   0.47   0.54   0.88   0.46   0.89   0.48   0.00   2.73   
	3     0.95   0.85   0.71   0.71   0.56   0.64   0.91   0.67   0.92   0.67   1.00   3.40   
	3     0.92   0.57   0.61   0.61   0.38   0.56   0.68   0.44   0.71   0.47   8.00   2.85   
	3     0.85   0.72   0.64   0.72   0.54   0.76   0.74   0.58   0.78   0.62   5.00   2.87   
	4     0.75   0.60   0.09   0.11   0.14   0.14   0.59   0.03   0.67   0.11   0.00   2.54   
	4     1.00   0.90   1.00   1.00   0.83   1.00   0.94   0.91   0.95   0.91   0.00   2.97   
	4     0.68   0.65   0.17   0.25   0.17   0.25   0.41   -0.02   0.67   0.17   3.00   2.67   
	4     0.55   0.85   0.19   0.38   0.35   0.40   0.34   0.04   0.68   0.25   0.00   3.15   
	4     1.00   0.80   0.53   0.53   0.53   0.57   0.88   0.52   0.89   0.53   0.00   2.86   
	4     0.90   0.90   0.69   0.75   0.56   0.60   0.89   0.61   0.90   0.62   0.00   3.55   
	4     0.70   0.80   0.46   0.63   0.56   0.69   0.69   0.51   0.76   0.55   7.00   2.99   
	4     0.49   0.88   0.27   0.55   0.45   0.51   0.54   0.26   0.63   0.34   0.00   3.17   
	5     0.89   0.70   0.33   0.33   0.50   0.57   0.80   0.41   0.82   0.43   1.00   0.02   
	5     1.00   0.90   0.64   0.64   0.83   1.00   0.94   0.78   0.95   0.78   0.00   0.03   
	5     0.92   0.50   0.43   0.45   0.44   0.70   0.60   0.38   0.67   0.48   10.00   0.05   
	5     0.88   0.65   0.32   0.32   0.47   0.70   0.69   0.25   0.79   0.38   7.00   0.11   
	5     0.95   0.80   0.50   0.50   0.72   0.85   0.88   0.64   0.89   0.64   3.00   0.09   
	5     0.95   0.85   0.50   0.50   0.50   0.57   0.91   0.54   0.92   0.55   1.00   0.09   
	5     0.96   0.55   0.49   0.49   0.46   0.85   0.68   0.47   0.70   0.51   18.00   0.24   
	5     0.89   0.72   0.48   0.54   0.49   0.71   0.79   0.47   0.82   0.52   16.00   0.39   
	6     0.90   0.70   0.50   0.50   0.50   0.57   0.80   0.55   0.82   0.57   0.00   2.50   
	6     1.00   0.90   1.00   1.00   0.83   1.00   0.94   0.91   0.95   0.91   0.00   2.94   
	6     1.00   0.80   0.77   0.77   0.56   0.62   0.83   0.59   0.89   0.65   1.00   2.54   
	6     1.00   0.90   1.00   1.00   0.82   0.93   0.91   0.89   0.95   0.90   0.00   2.93   
	6     1.00   0.80   1.00   1.00   0.79   0.85   0.88   0.88   0.89   0.88   0.00   2.63   
	6     1.00   0.90   0.77   0.77   0.69   0.75   0.94   0.73   0.95   0.74   0.00   3.42   
	6     0.95   0.80   0.86   0.89   0.71   0.86   0.87   0.78   0.89   0.79   3.00   2.75   
	6     0.97   0.90   0.90   0.90   0.80   0.90   0.92   0.84   0.94   0.85   0.00   2.85   
	7     0.80   0.60   0.09   0.11   0.14   0.14   0.66   0.03   0.71   0.11   0.00   0.75   
	7     1.00   0.90   1.00   1.00   0.83   1.00   0.94   0.91   0.95   0.91   0.00   0.96   
	7     0.73   0.70   0.28   0.38   0.28   0.38   0.50   0.12   0.72   0.28   3.00   1.96   
	7     0.61   0.85   0.17   0.26   0.38   0.42   0.50   0.08   0.75   0.24   2.00   2.27   
	7     1.00   0.80   0.53   0.53   0.53   0.57   0.88   0.52   0.89   0.53   0.00   12.05   
	7     0.95   0.90   0.64   0.69   0.56   0.60   0.91   0.61   0.92   0.62   0.00   14.51   
	7     0.62   0.80   0.44   0.61   0.49   0.63   0.63   0.46   0.71   0.51   9.00   30.50   
	7     0.53   0.82   0.28   0.55   0.42   0.52   0.55   0.26   0.65   0.34   0.00   27.15   
	8     0.80   0.60   0.09   0.11   0.14   0.14   0.66   0.03   0.71   0.11   0.00   0.75   
